"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"A03DA04","CICLONIUM AND ANALGESICS","CICLONIUM ET ANALGESIQUES","CICLONIUM UND ANALGETIKA"
"A03DA05","CAMYLOFIN AND ANALGESICS","CAMYLOFINE ET ANALGESIQUES","CAMYLOFIN UND ANALGETIKA"
"A03DA06","TROSPIUM AND ANALGESICS","TROSPIUM ET ANALGESIQUES","TROSPIUM UND ANALGETIKA"
"A03DA07","TIEMONIUM IODIDE AND ANALGESICS","TIEMONIUM IODURE ET ANALGESIQUES","TIEMONIUMIODID UND ANALGETIKA"
"A03DB","BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS","BELLADONE ET DERIVES EN ASSOCIATION AVEC DES ANALGESIQUES","BELLADONNA UND DERIVATE IN KOMBINATION MIT ANALGETIKA"
"A03DB04","BUTYLSCOPOLAMINE AND ANALGESICS","BUTYLSCOPOLAMINE ET ANALGESIQUES","BUTYLSCOPOLAMIN UND ANALGETIKA"
"A03DC","OTHER ANTISPASMODICS IN COMBINATION WITH ANALGESICS","AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES","ANDERE SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA"
"A03E","ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS","ANTISPASMODIQUES ET ANTICHOLINERGIQUES ASSOCIES A D'AUTRES MEDICAMENTS","SPASMOLYTIKA UND ANTICHOLINERGIKA IN KOMBINATION MIT ANDEREN MITTELN"
"A03EA","ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION","ANTISPASMODIQUES, PSYCHOLEPTIQUES ET ANALGESIQUES EN ASSOCIATION","SPASMOLYTIKA, PSYCHOLEPTIKA UND ANALGETIKA IN KOMBINATION"
"A03ED","ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS","ANTISPASMODIQUES ASSOCIES A D'AUTRES MEDICAMENTS","SPASMOLYTIKA IN KOMBINATION MIT ANDEREN MITTELN"
"A03F","PROPULSIVES","STIMULANTS DE LA MOTRICITE INTESTINALE","PROKINETIKA"
"A03FA","PROPULSIVES","STIMULANT DE LA MOTRICITE INTESTINALE","PROKINETIKA"
"A03FA01","METOCLOPRAMIDE","METOCLOPRAMIDE","METOCLOPRAMID"
"A03FA02","CISAPRIDE","CISAPRIDE","CISAPRID"
"A03FA03","DOMPERIDONE","DOMPERIDONE","DOMPERIDON"
"A03FA04","BROMOPRIDE","BROMOPRIDE","BROMOPRID"
"A03FA05","ALIZAPRIDE","ALIZAPRIDE","ALIZAPRID"
"A03FA06","CLEBOPRIDE","CLEBOPRIDE","CLEBOPRID"
"A04","ANTIEMETICS AND ANTINAUSEANTS","ANTIEMETIQUES ET ANTINAUSEEUX","ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"
"A04A","ANTIEMETICS AND ANTINAUSEANTS","ANTIEMETIQUE ET ANTINAUSEEUX","ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"
"A04AA","SEROTONIN (5HT3) ANTAGONISTS","ANTAGONISTES DE LA SEROTONINE (5HT3)","SEROTONIN-5HT3-ANTAGONISTEN"
"A04AA01","ONDANSETRON","ONDANSETRON","ONDANSETRON"
"A04AA02","GRANISETRON","GRANISETRON","GRANISETRON"
"A04AA03","TROPISETRON","TROPISETRON","TROPISETRON"
"A04AA04","DOLASETRON","DOLASETRON","DOLASETRON"
"A04AD","OTHER ANTIEMETICS","AUTRES ANTIEMETIQUES","ANDERE ANTIEMETIKA"
"A04AD01","SCOPOLAMINE","SCOPOLAMINE","SCOPOLAMIN"
"A04AD02","CERIUM OXALATE","CERIUM OXALATE","CERIUMOXALAT"
"A04AD04","CHLOROBUTANOL","CHLOROBUTANOL","CHLORBUTANOL"
"A04AD05","METOPIMAZINE","METOPIMAZINE","METOPIMAZIN"
"A04AD10","DRONABINOL","DRONABINOL","DRONABINOL"
"A04AD11","NABILONE","NABILONE","NABILON"
"A04AD12","APREPITANT","APREPITANT","APREPITANTIT, FOSAPREPITANT"
"A04AD13","CASOPITANT","CASOPITANT","CASOPITANT"
"A04AD51","SCOPOLAMINE, COMBINATIONS","SCOPOLAMINE EN ASSOCIATION","SCOPOLAMIN, KOMBINATIONEN"
"A04AD54","CHLOROBUTANOL, COMBINATIONS","CHLOROBUTANOL EN ASSOCIATION","CHLORBUTANOL, KOMBINATIONEN"
"A05","BILE AND LIVER THERAPY","THERAPEUTIQUE HEPATIQUE ET BILIAIRE","GALLEN- UND LEBERTHERAPIE"
"A05A","BILE THERAPY","THERAPEUTIQUE BILIAIRE","GALLENTHERAPIE"
"A05AA","BILE ACID PREPARATIONS","ACIDES BILIAIRES","GALLENSÄURE-HALTIGE ZUBEREITUNGEN"
"A05AA01","CHENODEOXYCHOLIC ACID","ACIDE CHENODESOXYCHOLIQUE","CHENODEOXYCHOLSÄURE"
"A05AA02","URSODEOXYCHOLIC ACID","ACIDE URSODESOXYCHOLIQUE","URSODEOXYCHOLSÄURE"
"A05AA03","CHOLIC ACID","ACIDE CHOLIQUE","CHOLSÄURE"
"A05AB","PREPARATIONS FOR BILIARY TRACT THERAPY","MEDICAMENTS DU TRACTUS BILIAIRE","ZUBEREITUNGEN ZUR GALLENTHERAPIE"
"A05AB01","NICOTINYL METHYLAMIDE","NICOTINYL METHYLAMIDE","N-(HYDROXYMETHYL)NICOTINAMID"
"A05AX","OTHER DRUGS FOR BILE THERAPY","AUTRES MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE","ANDERE MITTEL ZUR GALLENTHERAPIE"
"A05AX01","PIPROZOLIN","PIPROZOLINE","PIPROZOLIN"
"A05AX02","HYMECROMONE","HYMECROMONE","HYMECROMON"
"A05AX03","CYCLOBUTYROL","CYCLOBUTYROL","CYCLOBUTYROL"
"A05B","LIVER THERAPY, LIPOTROPICS","THERAPEUTIQUE HEPATIQUE, LIPOTROPIQUES","LEBERTHERAPIE, LIPOTROPE SUBSTANZEN"
"A05BA","LIVER THERAPY","THERAPEUTIQUE HEPATIQUE","LEBERTHERAPIE"
"A05BA01","ARGININE GLUTAMATE","ARGININE GLUTAMATE","ARGININGLUTAMAT"
"A05BA03","SILYMARIN","SILYMARINE","SILYMARIN"
"A05BA04","CITIOLONE","CITIOLONE","CITIOLON"
"A05BA05","EPOMEDIOL","EPOMEDIOL","EPOMEDIOL"
"A05BA06","ORNITHINE OXOGLURATE","ORNITHINE OXOGLUTARATE","ORNITHINOXOGLURAT"
"A05BA07","TIDIACIC ARGININE","TIDIACIC ARGININE","TIDIACICARGININ"
"A05C","DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION","MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION","MITTEL ZUR GALLENTHERAPIE UND LIPOTROPE SUBSTANZEN IN KOMBINATION"
"A06","LAXATIVES","LAXATIFS","LAXANZIEN"
"A06A","LAXATIVES","LAXATIF","LAXANZIEN"
"A06AA","SOFTENERS, EMOLLIENTS","LAXATIFS LUBRIFIANTS","GLEITMITTEL, EMOLLIENTIA"
"A06AA01","LIQUID PARAFFIN","HUILE DE PARAFFINE","DICKFLÜSSIGES PARAFFIN"
"A06AA02","DOCUSATE SODIUM","DOCUSATE SODIQUE","DOCUSAT-NATRIUM"
"A06AA51","LIQUID PARAFFIN, COMBINATIONS","HUILE DE PARAFFINE EN ASSOCIATION","DICKFLÜSSIGES PARAFFIN, KOMBINATIONEN"
"A06AB","CONTACT LAXATIVES","LAXATIFS STIMULANTS","KONTAKTLAXANZIEN"
"A06AB01","ACETPHENOLISATIN","OXYPHENISATINE DIACETATE","OXYPHENISATIN"
"A06AB02","BISACODYL","BISACODYL","BISACODYL"
"A06AB03","DANTRON","DANTRON","DANTRON"
"A06AB04","PHENOLPHTHALEIN","PHENOLPHTALEINE","PHENOLPHTHALEIN"
"A06AB05","CASTOR OIL","HUILE DE RICIN","RIZINUSÖL"
"A06AB06","SENNA GLYCOSIDES","GLYCOSIDES DE SENE","SENNOSIDE"
"A06AB07","CASCARA","CASCARA","CASCARA"
"A06AB08","SODIUM PICOSULFATE","SODIUM PICOSULFATE","NATRIUMPICOSULFAT"
"A06AB09","BISOXATIN","BISOXATIN","BISOXATIN"
"A06AB20","CONTACT LAXATIVES IN COMBINATION","LAXATIFS STIMULANTS EN ASSOCIATION","KONTAKTLAXANZIEN IN KOMBINATION"
"A06AB30","CONTACT LAXATIVES IN COMBINATION WITH BELLADONNA ALKALOIDS","LAXATIFS STIMULANTS EN ASSOCIATION AVEC ALCALOÏDES DE BELLADONE","KONTAKTLAXANZIEN IN KOMBINATION MIT BELLADONNA-ALKALOIDEN"
"A06AB52","BISACODYL, COMBINATIONS","BISACODYL, ASSOCIATIONS","BISACODYL, KOMBINATIONEN"
"A06AB53","DANTRON, COMBINATIONS","DANTRON EN ASSOCIATION","DANTRON, KOMBINATIONEN"
"A06AB56","SENNA GLYCOSIDES, COMBINATIONS","GLYCOSIDES DE SENE EN ASSOCIATION","SENNOSIDE, KOMBINATIONEN"
"A06AB57","CASCARA, COMBINATIONS","CASCARA EN ASSOCIATION","CASCARA, KOMBINATIONEN"
"A06AB58","SODIUM PICOSULFATE, COMBINATIONS","SODIUM PICOSULFATE EN ASSOCIATION","NATRIUMPICOSULFAT, KOMBINATIONEN"
"A06AC","BULK PRODUCERS","LAXATIFS DE LEST","QUELLMITTEL"
"A06AC01","ISPAGHULA (PSYLLA SEEDS)","ISPAGHUL (GRAINES DE PSYLLIUM)","ISPAGHULA (FLOHSAMEN)"
"A06AC02","ETHULOSE","ETHULOSE","ETHULOSE"
"A06AC03","STERCULIA","STERCULIA","STERCULIA"
"A06AC05","LINSEED","LIN GRAINE","LEINSAMEN"
"A06AC06","METHYLCELLULOSE","METHYLCELLULOSE","METHYLCELLULOSE"
"A06AC07","TRITICUM (WHEAT FIBRE)","TRITICUM (FIBRES DE BLE)","TRITICUM (WEIZENKLEIE)"
"A06AC08","POLYCARBOPHIL CALCIUM","POLYCARBOPHIL CALCIUM","POLYCARBOPHIL-CALCIUM"
"A06AC51","ISPAGHULA, COMBINATIONS","ISPAGHUL EN ASSOCIATION","ISPAGHULA, KOMBINATIONEN"
"A06AC53","STERCULIA, COMBINATIONS","STERCULIA EN ASSOCIATION","STERCULIA, KOMBINATIONEN"
"A06AC55","LINSEED, COMBINATIONS","LIN GRAINE EN ASSOCIATION","LEINSAMEN, KOMBINATIONEN"
"A06AD","OSMOTICALLY ACTING LAXATIVES","LAXATIFS OSMOTIQUES","OSMOTISCH WIRKENDE LAXANZIEN"
"A06AD01","MAGNESIUM CARBONATE","MAGNESIUM CARBONATE","MAGNESIUMCARBONAT"
"A06AD02","MAGNESIUM OXIDE","MAGNESIUM OXYDE","MAGNESIUMOXID"
"A06AD03","MAGNESIUM PEROXIDE","MAGNESIUM PEROXYDE","MAGNESIUMPEROXID"
"A06AD04","MAGNESIUM SULFATE","MAGNESIUM SULFATE","MAGNESIUMSULFAT"
"A06AD10","MINERAL SALTS IN COMBINATION","SELS MINERAUX EN ASSOCIATION","MINERALSALZE IN KOMBINATION"
"A06AD11","LACTULOSE","LACTULOSE","LACTULOSE"
"A06AD12","LACTITOL","LACTITOL","LACTITOL"
"A06AD13","SODIUM SULFATE","SODIUM SULFATE","NATRIUMSULFAT"
"A06AD14","PENTAERITHRITYL","PENTAERITHRITYL TETRANITRATE","PENTAERYTHRITYL"
"A06AD15","MACROGOL","MACROGOL","MACROGOL"
"A06AD16","MANNITOL","MANNITOL","MANNITOL"
"A06AD17","SODIUM PHOSPHATE","PHOSPHATE DE SODIUM","NATRIUMPHOSPHAT"
"A06AD18","SORBITOL","SORBITOL","SORBITOL"
"A06AD19","MAGNESIUM CITRATE","CITRATE DE MAGNESIUM","MAGNESIUMCITRAT"
"A06AD21","SODIUM TARTRATE","SODIUM TARTRATE","NATRIUMTARTRAT"
"A06AD61","LACTULOSE, COMBINATIONS","LACTULOSE EN ASSOCIATION","LACTULOSE, KOMBINATIONEN"
"A06AD65","MACROGOL, COMBINATIONS","MACROGOL, ASSOCIATIONS","MACROGOL, KOMBINATIONEN"
"A06AG","ENEMAS","LAVEMENTS","KLYSMEN"
"A06AG01","SODIUM PHOSPHATE","SODIUM PHOSPHATE","NATRIUMPHOSPHAT"
"A06AG02","BISACODYL","BISACODYL","BISACODYL"
"A06AG03","DANTRON, INCL. COMBINATIONS","DANTRON, ASSOCIATIONS INCLUSES","DANTRON, INKL. KOMBINATIONEN"
"A06AG04","GLYCEROL","GLYCEROL","GLYCEROL"
"A06AG06","OIL","HUILE","ÖL"
"A06AG07","SORBITOL","SORBITOL","SORBITOL"
"A06AG10","DOCUSATE SODIUM, INCL. COMBINATIONS","DOCUSATE SODIQUE, ASSOCIATIONS INCLUSES","DOCUSAT-NATRIUM, INKL. KOMBINATIONEN"
"A06AG11","LAURILSULFATE, INCL. COMBINATIONS","LAURYLSULFATE, ASSOCIATIONS INCLUSES","LAURYLSULFAT, INKL. KOMBINATIONEN"
"A06AG20","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A06AH","PERIPHERAL OPIOID RECEPTOR ANTAGONISTS","ANTAGONISTES DES RECEPTEURS OPOÏDES PERIPHERIQUES","PERIPHERE OPIOIDREZEPTOR-ANTAGONISTEN"
"A06AH01","METHYLNALTREXONE BROMIDE","METHYLNALTREXONE BROMIDE","METHYLNALTREXON BROMID"
"A06AH02","ALVIMOPAN","ALVIMOPAN","ALVIMOPAN"
"A06AX","OTHER LAXATIVES","AUTRES LAXATIFS","ANDERE LAXANZIEN"
"A06AX01","GLYCEROL","GLYCEROL","GLYCEROL"
"A06AX02","CARBON DIOXIDE PRODUCING DRUGS","MEDICAMENTS PRODUISANT DE L'ANHYDRIDE CARBONIQUE","KOHLENDIOXID FREISETZENDE MITTEL"
"A07","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTI-INFECTIEUX INTESTINAUX","ANTIDIARRHOIKA UND INTESTINALE ANTIPHLOGISTIKA/ANTIINFEKTIVA"
"A07A","INTESTINAL ANTIINFECTIVES","ANTIINFECTIEUX INTESTINAUX","INTESTINALE ANTIINFEKTIVA"
"A07AA","ANTIBIOTICS","ANTIBIOTIQUES","ANTIBIOTIKA"
"A07AA01","NEOMYCIN","NEOMYCINE","NEOMYCIN"
"A07AA02","NYSTATIN","NYSTATINE","NYSTATIN"
"A07AA03","NATAMYCIN","NATAMYCINE","NATAMYCIN"
"A07AA04","STREPTOMYCIN","STREPTOMYCINE","STREPTOMYCIN"
"A07AA05","POLYMYXIN B","POLYMYXINE","POLYMYXIN B"
"A07AA06","PAROMOMYCIN","PAROMOMYCINE","PAROMOMYCIN"
"A07AA07","AMPHOTERICIN B","AMPHOTERICINE B","AMPHOTERICIN B"
"A07AA08","KANAMYCIN","KANAMYCINE","KANAMYCIN"
"A07AA09","VANCOMYCIN","VANCOMYCINE","VANCOMYCIN"
"A07AA10","COLISTIN","COLISTINE","COLISTIN"
"A07AA11","RIFAXIMIN","RIFAXIMINE","RIFAXIMIN"
"A07AA51","NEOMYCIN, COMBINATIONS","NEOMYCINE EN ASSOCIATION","NEOMYCIN, KOMBINATIONEN"
"A07AA54","STREPTOMYCIN, COMBINATIONS","STREPTOMYCINE EN ASSOCIATION","STREPTOMYCIN, KOMBINATIONEN"
"A07AB","SULFONAMIDES","SULFAMIDES","SULFONAMIDE"
"A07AB02","PHTHALYLSULFATHIAZOLE","PHTHALYLSULFATHIAZOLE","PHTHALYLSULFATHIAZOL"
"A07AB03","SULFAGUANIDINE","SULFAGUANIDINE","SULFAGUANIDIN"
"A07AB04","SUCCINYLSULFATHIAZOLE","SUCCINYLSULFATHIAZOLE","SUCCINYLSULFATHIAZOL"
"A07AC","IMIDAZOLE DERIVATIVES","DERIVES IMIDAZOLES","IMIDAZOL-DERIVATE"
"A07AC01","MICONAZOLE","MICONAZOLE","MICONAZOL"
"A07AX","OTHER INTESTINAL ANTIINFECTIVES","AUTRES ANTIINFECTIEUX INTESTINAUX","ANDERE INTESTINALE ANTIINFEKTIVA"
"A07AX01","BROXYQUINOLINE","BROXYQUINOLINE","BROXYCHINOLIN"
"A07AX02","ACETARSOL","ACETARSOL","ACETARSOL"
"A07AX03","NIFUROXAZIDE","NIFUROXAZIDE","NIFUROXAZID"
"A07AX04","NIFURZIDE","NIFURZIDE","NIFURZID"
"A07B","INTESTINAL ADSORBENTS","ADSORBANTS INTESTINAUX","INTESTINALE ADSORBENZIEN"
"A07BA","CHARCOAL PREPARATIONS","PREPARATIONS A BASE DE CHARBON","KOHLE-HALTIGE ZUBEREITUNGEN"
"A07BA01","MEDICINAL CHARCOAL","CHARBON MEDICINAL","MEDIZINISCHE KOHLE"
"A07BA51","MEDICINAL CHARCOAL, COMBINATIONS","CHARBON MEDICINAL, ASSOCIATIONS","MEDIZINISCHE KOHLE, KOMBINATIONEN"
"A07BB","BISMUTH PREPARATIONS","PREPARATIONS A BASE DE BISMUTH","BISMUT-HALTIGE ZUBEREITUNGEN"
"A07BC","OTHER INTESTINAL ADSORBENTS","AUTRES ADSORBANTS INTESTINAUX","ANDERE INTESTINALE ADSORBENZIEN"
"A07BC01","PECTIN","PECTINE","PEKTIN"
"A07BC02","KAOLIN","KAOLIN","KAOLIN"
"A07BC03","CROSPOVIDONE","CROSPOVIDONE","CROSPOVIDON"
"A07BC04","ATTAPULGITE","ATTAPULGITE","ATTAPULGIT"
"A07BC05","DIOSMECTITE","DIOSMECTITE","DIOSMECTIT"
"A07BC30","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A07BC54","ATTAPULGITE, COMBINATIONS","ATTAPULGITE EN ASSOCIATION","ATTAPULGIT, KOMBINATIONEN"
"A07C","ELECTROLYTES WITH CARBOHYDRATES","ELECTROLYTES ET HYDRATES DE CARBONE","ELEKTROLYTE MIT KOHLENHYDRATEN"
"A07CA","ORAL REHYDRATION SALT FORMULATIONS","PREPARATIONS SALINES POUR REHYDRATATION ORALE","ELEKTROLYTE ZUR ORALEN REHYDRIERUNG"
"A07D","ANTIPROPULSIVES","RALENTISSEURS DE LA MOTRICITE INTESTINALE","MOTILITÄTSHEMMER"
"A07DA","ANTIPROPULSIVES","RALENTISSEURS DE LA MOTRICITE INTESTINALE","MOTILITÄTSHEMMER"
"A07DA01","DIPHENOXYLATE","DIPHENOXYLATE","DIPHENOXYLAT"
"A07DA02","OPIUM","OPIUM","OPIUM"
"A07DA03","LOPERAMIDE","LOPERAMIDE","LOPERAMID"
"A07DA04","DIFENOXIN","DIFENOXINE","DIFENOXIN"
"A07DA05","LOPERAMIDE OXIDE","LOPERAMIDE OXYDE","LOPERAMIDOXID"
"A07DA52","MORPHINE, COMBINATIONS","MORPHINE EN ASSOCIATION","MORPHIN, KOMBINATIONEN"
"A07DA53","LOPERAMIDE, COMBINATIONS","LOPERAMIDE EN ASSOCIATION","LOPERAMID, KOMBINATIONEN"
"A07E","INTESTINAL ANTIINFLAMMATORY AGENTS","ANTIINFLAMMATOIRES INTESTINAUX","INTESTINALE ANTIPHLOGISTIKA"
"A07EA","CORTICOSTEROIDS ACTING LOCALLY","CORTICOIDES A USAGE LOCAL","CORTICOSTEROIDE MIT LOKALER WIRKUNG"
"A07EA01","PREDNISOLONE","PREDNISOLONE","PREDNISOLON"
"A07EA02","HYDROCORTISONE","HYDROCORTISONE","HYDROCORTISON"
"A07EA03","PREDNISONE","PREDNISONE","PREDNISON"
"A07EA04","BETAMETHASONE","BETAMETHASONE","BETAMETHASON"
"A07EA05","TIXOCORTOL","TIXOCORTOL","TIXOCORTOL"
"A07EA06","BUDESONIDE","BUDESONIDE","BUDESONID"
"A07EA07","BECLOMETASONE","BECLOMETASONE","BECLOMETASON"
"A07EB","ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS","ANTIALLERGIQUES, CORTICOIDES EXCLUS","ANTIALLERGIKA, EXKL. CORTICOSTEROIDE"
"A07EB01","CROMOGLICIC ACID","ACIDE CROMOGLICIQUE","CROMOGLICINSÄURE"
"A07EC","AMINOSALICYLIC ACID AND SIMILAR AGENTS","ACIDE AMINOSALICYLIQUE ET ANALOGUES","AMINOSALICYLSÄURE UND ÄHNLICHE MITTEL"
"A07EC01","SULFASALAZINE","SULFASALAZINE","SULFASALAZIN"
"A07EC02","MESALAZINE","MESALAZINE","MESALAZIN"
"A07EC03","OLSALAZINE","OLSALAZINE","OLSALAZIN"
"A07EC04","BALSALAZIDE","BALSALAZIDE","BALSALAZID"
"A07F","ANTIDIARRHEAL MICROORGANISMS","MICROORGANISMES ANTIDIARRHEIQUES","MIKROBIELLE ANTIDIARRHOIKA"
"A07FA","ANTIDIARRHEAL MICROORGANISMS","MICROORGANISMES ANTIDIARRHEIQUES","MIKROBIELLE ANTIDIARRHOIKA"
"A07FA01","LACTIC ACID PRODUCING ORGANISMS","MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE","MILCHSÄUREBILDNER"
"A07FA02","SACCHAROMYCES BOULARDII","SACCHAROMYCES BOULARDII","SACCHAROMYCES BOULARDII"
"A07FA51","LACTIC ACID PRODUCING ORGANISMS, COMBINATIONS","MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE EN ASSOCIATION","MILCHSÄUREBILDNER, KOMBINATIONEN"
"A07X","OTHER ANTIDIARRHEALS","AUTRES ANTIDIARRHEIQUES","ANDERE ANTIDIARRHOIKA"
"A07XA","OTHER ANTIDIARRHEALS","AUTRES ANTIDIARRHEIQUES","ANDERE ANTIDIARRHOIKA"
"A07XA01","ALBUMIN TANNATE","TANIN ALBUMINATE","ALBUMINTANNAT"
"A07XA02","CERATONIA","CERATONIA","CERATONIA"
"A07XA03","CALCIUM COMPOUNDS","DERIVES CALCIQUES","CALCIUM-HALTIGE VERBINDUNGEN"
"A07XA04","ACETORPHAN","RACECADOTRIL","RACECADOTRIL"
"A07XA51","ALBUMIN TANNATE, COMBINATIONS","TANNATE D'ALBUMINE, ASSOCIATIONS","ALBUMINTANNAT, KOMBINATIONEN"
"A08","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","PREPARATIONS CONTRE L'OBESITE, PRODUITS DE REGIME EXCLUS","ANTIADIPOSITA, EXKL. DIÄTETIKA"
"A08A","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","PREPARATION CONTRE L'OBESITE, PRODUIT DE REGIME EXCLU","ANTIADIPOSITA, EXKL. DIÄTETIKA"
"A08AA","CENTRALLY ACTING ANTIOBESITY PRODUCTS","MEDICAMENTS CONTRE L'OBESITE A ACTION CENTRALE","ZENTRAL WIRKENDE ANTIADIPOSITA"
"A08AA01","PHENTERMINE","PHENTERMINE","PHENTERMIN"
"A08AA02","FENFLURAMINE","FENFLURAMINE","FENFLURAMIN"
"A08AA03","AMFEPRAMONE","AMFEPRAMONE","AMFEPRAMON"
"A08AA04","DEXFENFLURAMINE","DEXFENFLURAMINE","DEXFENFLURAMIN"
"A08AA05","MAZINDOL","MAZINDOL","MAZINDOL"
"A08AA06","ETILAMFETAMINE","ETILAMFETAMINE","ETILAMFETAMIN"
"A08AA07","CATHINE","CATHINE","CATHIN"
"A08AA08","CLOBENZOREX","CLOBENZOREX","CLOBENZOREX"
"A08AA09","MEFENOREX","MEFENOREX","MEFENOREX"
"A08AA10","SIBUTRAMINE","SIBUTRAMINE","SIBUTRAMIN"
"A08AA56","EPHEDRINE, COMBINATIONS","EPHEDRINE EN ASSOCIATION","EPHEDRIN, KOMBINATIONEN"
"A08AB","PERIPHERALLY ACTING ANTIOBESITY PRODUCTS","MEDICAMENTS CONTRE L'OBESITE A ACTION PERIPHERIQUE","PERIPHER WIRKENDE ANTIADIPOSITA"
"A08AB01","ORLISTAT","ORLISTAT","ORLISTAT"
"A09","DIGESTIVES, INCL. ENZYMES","MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES","DIGESTIVA, INKL. ENZYME"
"A09A","DIGESTIVES, INCL. ENZYMES","MEDICAMENT DE LA DIGESTION, ENZYME INCLUSE","DIGESTIVA, INKL. ENZYME"
"A09AA","ENZYME PREPARATIONS","PREPARATIONS ENZYMATIQUES","ENZYM-HALTIGE ZUBEREITUNGEN"
"A09AA01","DIASTASE","DIASTASE","DIASTASE"
"A09AA02","MULTIENZYMES (LIPASE, PROTEASE ETC.)","MULTIENZYMES (LIPASE, PROTEASE...)","MULTIENZYME (LIPASE, PROTEASE ETC.)"
"A09AA03","PEPSIN","PEPSINE","PEPSIN"
"A09AA04","TILACTASE","TILACTASE","TILACTASE"
"A09AB","ACID PREPARATIONS","PREPARATIONS ACIDES","SÄURE-HALTIGE ZUBEREITUNGEN"
"A09AB01","GLUTAMIC ACID HYDROCHLORIDE","ACIDE GLUTAMIQUE CHLORHYDRATE","GLUTAMINSÄUREHYDROCHLORID"
"A09AB02","BETAINE HYDROCHLORIDE","CHLORHYDRATE DE BETAÏNE","BETAINHYDROCHLORID"
"A09AB03","HYDROCHLORIC ACID","ACIDE CHLORHYDRIQUE","SALZSÄURE"
"A09AB04","CITRIC ACID","ACIDE CITRIQUE","ZITRONENSÄURE"
"A09AC","ENZYME AND ACID PREPARATIONS, COMBINATIONS","ENZYMES ET PREPARATIONS ACIDES EN ASSOCIATION","ENZYM- UND SÄURE-HALTIGE ZUBEREITUNGEN, KOMBINATIONEN"
"A09AC01","PEPSIN AND ACID PREPARATIONS","PEPSINE ET PREPARATIONS ACIDES","PEPSIN- UND SÄURE-HALTIGE ZUBEREITUNGEN"
"A09AC02","ENZYMES ET PREPARATIONS ACIDES","ENZYMES ET PREPARATIONS ACIDES","MULTIENZYME UND SÄURE-HALTIGE ZUBEREITUNGEN"
"A10","DRUGS USED IN DIABETES","MEDICAMENTS DU DIABETE","ANTIDIABETIKA"
"A10A","INSULINS AND ANALOGUES","INSULINES ET ANALOGUES","INSULINE UND ANALOGA"
"A10AB","INSULINS AND ANALOGUES, FAST-ACTING","INSULINES ET ANALOGUES D'ACTION RAPIDE","INSULINE UND ANALOGA ZUR INJEKTION, SCHNELL WIRKEND"
"A10AB01","INSULIN (HUMAN)","INSULINE HUMAINE","INSULIN (HUMAN)"
"A10AB02","INSULIN (BEEF)","INSULINE BOVINE","INSULIN (RIND)"
"A10AB03","INSULIN (PORK)","INSULINE PORCINE","INSULIN (SCHWEIN)"
"A10AB04","INSULIN LISPRO","INSULINE LISPRO","INSULIN LISPRO"
"A10AB05","INSULIN ASPART","INSULINE ASPARTE","INSULIN ASPART"
"A10AB06","INSULIN GLULISINE","INSULINE GLULISINE","INSULIN GLULISIN"
"A10AB30","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A10AC","INSULINS AND ANALOGUES, INTERMEDIATE-ACTING","INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE","INSULINE UND ANALOGA ZUR INJEKTION, INTERMEDIÄR WIRKEND"
"A10AC01","INSULIN (HUMAN)","INSULINE HUMAINE","INSULIN (HUMAN)"
"A10AC02","INSULIN (BEEF)","INSULINE BOVINE","INSULIN (RIND)"
"A10AC03","INSULIN (PORK)","INSULINE PORCINE","INSULIN (SCHWEIN)"
"A10AC04","INSULIN LISPRO","INSULINE LISPRO","INSULIN LISPRO"
"A10AC30","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
